iter	Accuracy	MultiClass
0	0.2398809524	3.022861606
1	0.3827380952	2.892248645
2	0.5744047619	2.681610778
3	0.7273809524	2.523496853
4	0.8244047619	2.355741226
5	0.8845238095	2.195121453
6	0.9071428571	2.072107821
7	0.9130952381	1.9711609
8	0.9196428571	1.881550974
9	0.9571428571	1.741880975
10	0.9726190476	1.623101325
11	0.9791666667	1.555485769
12	0.9910714286	1.476795932
13	0.9928571429	1.374243567
14	0.9982142857	1.321244301
15	0.9982142857	1.266633317
16	0.9982142857	1.217331447
17	0.9982142857	1.171039161
18	0.9982142857	1.111467465
19	0.9982142857	1.073605752
20	0.9982142857	1.024129536
21	0.9982142857	0.978142306
22	0.9982142857	0.9317829428
23	0.9982142857	0.897324961
24	0.9982142857	0.8706410913
25	0.9982142857	0.8307866067
26	0.9982142857	0.7993381607
27	0.9982142857	0.7637859155
28	0.9982142857	0.7366195698
29	0.9982142857	0.7079074993
30	0.9982142857	0.6885089745
31	0.9982142857	0.6668494706
32	0.9982142857	0.645886179
33	0.9982142857	0.6257852038
34	0.9982142857	0.5997436827
35	0.9982142857	0.5743935933
36	0.9982142857	0.5468423724
37	0.9982142857	0.5223806391
38	0.9982142857	0.5083741337
39	0.9982142857	0.4863587557
40	0.9982142857	0.4742583592
41	0.9982142857	0.4629794413
42	0.9982142857	0.4501231424
43	0.9982142857	0.4408749686
44	0.9982142857	0.422025152
45	0.9982142857	0.4093841086
46	0.9982142857	0.3980813341
47	0.9982142857	0.3847934901
48	0.9982142857	0.3731142279
49	0.9982142857	0.3621235206
50	0.9982142857	0.3482477289
51	0.9982142857	0.3385108268
52	0.9982142857	0.3233694756
53	0.9982142857	0.3178378073
54	0.9982142857	0.3072070068
55	0.9982142857	0.299463005
56	0.9982142857	0.2900223387
57	0.9982142857	0.2845294336
58	0.9982142857	0.2791200078
59	0.9982142857	0.2726819641
60	0.9982142857	0.2659795666
61	0.9982142857	0.2613753146
62	0.9982142857	0.251933103
63	0.9982142857	0.2453023556
64	1	0.2355826415
65	1	0.2311117924
