iter	Passed	Remaining
0	2466	737562
1	3910	582721
2	5252	520001
3	6486	480003
4	7784	459263
5	9448	462988
6	11814	494508
7	13385	488587
8	15215	491977
9	16533	479471
10	17870	469518
11	19283	462794
12	21304	470339
13	23002	469916
14	24753	470317
15	25983	461202
16	27218	453104
17	28464	445946
18	29697	439206
19	30924	432941
20	32157	427238
21	33483	423109
22	34711	418048
23	36396	418559
24	37633	413973
25	38904	409995
26	40134	405800
27	41363	401813
28	42624	398317
29	43843	394591
30	45082	391200
31	46381	388443
32	47627	385353
33	48862	382275
34	50097	379306
35	51321	376360
36	52550	373534
37	53771	370738
38	54991	368020
39	56242	365575
40	57466	363018
41	58701	360593
42	59940	358248
43	61179	355953
44	62409	353652
45	63644	351427
46	64863	349156
47	66107	347066
48	67338	344937
49	68573	342867
50	69791	340747
51	71009	338658
52	72233	336635
53	73461	334659
54	74713	332813
55	75944	330901
56	77172	328997
57	78404	327137
58	79635	325292
59	80877	323509
60	82105	321691
61	83330	319880
62	84554	318085
63	85778	316307
64	87012	314585
65	88243	312863
66	89470	311144
67	90691	309416
68	91917	307723
69	93171	306135
70	94397	304464
71	95621	302800
72	96848	301158
73	98069	299509
74	99296	297889
75	100527	296290
76	101746	294668
77	102978	293093
78	104203	291506
79	105431	289936
80	106653	288359
81	107883	286812
82	109113	285273
83	110343	283739
84	111571	282209
85	112806	280704
86	114048	279223
87	115289	277741
88	116524	276253
89	117760	274774
90	119003	273315
91	120257	271886
92	121498	270431
93	122719	268938
94	123957	267486
95	125187	266022
96	126428	264587
97	127666	263149
98	128904	261716
99	130138	260277
100	131382	258863
101	132620	257440
102	133880	256062
103	135126	254661
104	136383	253284
105	137636	251900
106	138872	250489
107	140196	249237
108	141939	248719
109	143701	248211
110	145059	246992
111	146291	245561
112	147747	244501
113	149074	243226
114	150313	241808
115	151540	240374
116	152800	238995
117	154032	237575
118	155263	236157
119	156486	234729
120	157692	233280
121	158899	231837
122	160114	230409
123	161325	228978
124	162535	227549
125	163742	226121
126	164954	224701
127	166169	223290
128	167387	221885
129	168599	220476
130	169804	219061
131	171008	217647
132	172216	216241
133	173419	214833
134	174618	213423
135	175828	212028
136	177046	210646
137	178252	209253
138	179457	207861
139	180664	206474
140	181873	205090
141	183087	203717
142	184455	202514
143	186495	202036
144	188228	201209
145	189745	200142
146	191370	199181
147	193117	198337
148	194611	197223
149	196092	196092
150	197464	194849
151	199328	194083
152	202015	194093
153	204362	193746
154	207172	193806
155	209552	193432
156	210884	192079
157	212134	190652
158	213584	189405
159	214915	188050
160	217073	187411
161	218885	186458
162	220337	185191
163	221923	184034
164	223400	182782
165	224849	181505
166	226336	180255
167	227765	178958
168	229067	177561
169	230336	176139
170	231571	174694
171	232854	173287
172	234401	172074
173	235948	170859
174	237857	169898
175	239223	168544
176	240471	167106
177	241710	165666
178	242937	164220
179	244291	162861
180	245734	161560
181	247903	160728
182	250346	160057
183	252965	159478
184	255018	158524
185	257035	157537
186	258998	156507
187	261636	155868
188	263216	154587
189	264561	153167
190	265978	151788
191	268013	150757
192	269746	149548
193	271650	148427
194	273100	147054
195	274594	145703
196	276144	144379
197	277496	142952
198	278922	141563
199	280400	140200
200	282769	139274
201	284652	138098
202	286336	136820
203	288157	135603
204	290017	134398
205	291605	133062
206	293233	131742
207	294571	130291
208	295919	128845
209	297309	127418
210	298707	125995
211	300082	124562
212	301822	123279
213	303344	121904
214	305193	120657
215	307123	119436
216	308721	118082
217	310215	116686
218	311705	115288
219	313159	113876
220	315705	112853
221	318067	111753
222	319958	110478
223	322700	109487
224	324205	108068
225	325661	106632
226	327996	105479
227	329258	103976
228	330488	102465
229	331739	100964
230	332996	99466
231	334234	97965
232	335467	96465
233	336732	94975
234	337964	93479
235	339205	91988
236	340422	90492
237	341641	88999
238	343128	87576
239	344644	86161
240	346008	84707
241	347576	83303
242	348987	81861
243	350399	80419
244	351624	78936
245	352840	77452
246	354058	75972
247	355343	74507
248	356739	73067
249	358185	71637
250	359712	70222
251	361044	68770
252	362412	67325
253	363745	65875
254	365360	64475
255	366705	63027
256	368034	61577
257	369377	60131
258	370762	58692
259	372123	57249
260	373466	55805
261	374801	54360
262	376124	52914
263	377450	51470
264	378768	50025
265	380083	48582
266	381388	47137
267	383174	45752
268	384525	44313
269	385879	42875
270	387219	41436
271	388569	39999
272	389931	38564
273	391255	37126
274	392586	35689
275	393898	34252
276	395229	32816
277	396679	31391
278	398014	29958
279	399642	28545
280	400975	27112
281	402305	25679
282	403618	24245
283	405204	22828
284	406786	21409
285	408195	19981
286	409507	18549
287	410816	17117
288	412134	15686
289	413463	14257
290	414809	12829
291	416140	11401
292	417467	9973
293	418793	8546
294	420248	7122
295	421575	5696
296	422909	4271
297	424244	2847
298	425590	1423
299	426925	0
